Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
Pizza Call,restaurant,"Via Guglielmo Marconi - Guglielmo-Marconi-Straße, 21, 39100, Bozen",46.495009,11.350533,,10
Electric bike Center,bicycle,"Piazza Giuseppe Verdi - Giuseppe-Verdi-Platz, 7, 39100, Bolzano - Bozen",46.494671,11.353762,,58
Bar-Bistro Pizzeria Safran,restaurant,"Via Guglielmo Marconi - Guglielmo-Marconi-Straße, 1a, 39100, Bolzano - Bozen",46.495277,11.352456,,20
Sushi Il Milione,restaurant,"Via Guglielmo Marconi - Guglielmo-Marconi-Straße, 13b, 39100, Bolzano - Bozen",46.495075,11.351143,,16
Drinking_water,drinking_water,Adresse unbekannt,46.493329,11.351468,,211
Drinking_water,drinking_water,Adresse unbekannt,46.492827,11.352643,,288
Caffè Benetti,cafe,"Via Napoli - Neapelstraße, 9, 39100",46.493024,11.343250,,186
Drinking_water,drinking_water,Adresse unbekannt,46.498226,11.346340,,98
Café Londra,cafe,"Via Dante - Dantestraße, 1, 39100, Bolzano - Bozen",46.497466,11.349395,,167
Café Museion,restaurant,"Piazza Piero Siena - Piero-Siena-Platz, 3, 39100",46.497396,11.348150,,167
La Veneziana,restaurant,"Viale Venezia - Venediger Straße, 59a, 39100, Bolzano - Bozen",46.495235,11.345697,,57
Ristorante indiano Maharaja,restaurant,"Viale Druso - Drususallee, 6, 39100",46.494818,11.346032,,11
Eurac Cafe,cafe,"Viale Druso - Drususallee, 1a, 39100, Bolzano - Bozen",46.493985,11.347520,,83
Degustibus,cafe,Adresse unbekannt,46.498181,11.347897,,77
Pizzeria Tortuga,restaurant,"Piazzetta Questore Renato Mazzoni - Polizeidirektor-Renato-Mazzoni-Platz, 9, 39100, Bolzano - Bozen",46.495171,11.347029,,48
Turci,bicycle,"Via Firenze - Florenzstraße, 30, 39100, Bolzano - Bozen",46.493099,11.342771,,180
Dom ristorante al bocciodromo,restaurant,Adresse unbekannt,46.493228,11.346206,,164
Bocciodromo,cafe,"Viale Trieste - Triester Straße, 17, 39100, Bolzano - Bozen",46.493336,11.346319,,152
