Name,Typ,Adresse,Latitude,Longitude
Marechiaro,restaurant,Adresse unbekannt,46.4939824,11.3415357
Hollywood,cafe,"Viale Trieste - Triester Straße, 62, 39100, Bolzano - Bozen",46.4908909,11.3432783
La stazione della bicicletta,bicycle,"Via della Visitazione - Mariaheimweg, 16b, 39100, Bolzano - Bozen",46.4957211,11.3360666
Diamound's,restaurant,"Via della Visitazione - Mariaheimweg, 4/g, 39100, Bolzano - Bozen",46.4963459,11.337624
Pizza Kebab Mamma Mia,restaurant,"Via Roma - Romstraße, 66, 39100, Bolzano - Bozen",46.4912655,11.3415015
Togiva,cafe,Adresse unbekannt,46.4929721,11.3412857
Susaki,restaurant,"Via Roma - Romstraße, 2a, 39100, Bolzano - Bozen",46.49467,11.3401649
Cafe,cafe,"Via Michael Gaismair - Michael-Gaismair-Straße, 23, 39100, Bolzano - Bozen",46.4961748,11.3359408
Cafe,cafe,"Via Michael Gaismair - Michael-Gaismair-Straße, 25, 39100, Bolzano - Bozen",46.4960755,11.3359903
Gioia Cafe,cafe,"Via Roen - Roenstraße, 11, 39100, Bolzano - Bozen",46.497824,11.337339
La Lanterna,restaurant,"Via Rovigo - Rovigostraße, 14, 39100, Bolzano - Bozen",46.4945787,11.3357929
Johnny's Bar,cafe,"Via Roma - Romstraße, 74, 39100, Bolzano - Bozen",46.4908689,11.3416767
Morretti,restaurant,Adresse unbekannt,46.4980845,11.3402855
Insushi,restaurant,"Via Dalmazia - Dalmatienstraße, 39a, 39100, Bolzano - Bozen",46.4915011,11.338297
Cin Cin Bar Trattoria,cafe,"Via Torino - Turinstraße, 35, 39100, Bolzano - Bozen",46.4913351,11.3401492
Bar Café Giardino,cafe,"Via Dalmazia - Dalmatienstraße, 23, 39100, Bolzano - Bozen",46.4915335,11.3393774
Bar Giamar,cafe,"Via Torino - Turinstraße, 56, 39100, Bolzano - Bozen",46.4913384,11.3393725
Café Sarah,cafe,"Via Torino - Turinstraße, 76, 39100, Bolzano - Bozen",46.4910739,11.3387619
Hackhofer,bakery,"Via Torino - Turinstraße, 78, 39100, Bolzano - Bozen",46.4910615,11.3387081
