Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
Gasthaus Q21,restaurant,"Fuhlsbüttler Straße, 405, 22309, Hamburg",53.603561,10.039524,,104
Pastelaria Carlos,cafe,"Fuhlsbüttler Straße, 412, 22309, Hamburg",53.602941,10.040958,,31
Tunici,restaurant,"Fuhlsbüttler Straße, 388, 22309, Hamburg",53.601984,10.041141,,31
Dat Backhus,bakery,Adresse unbekannt,53.601686,10.040608,,32
que huong Asia Laden,supermarket,"Fuhlsbüttler Straße, 417, 22309, Hamburg",53.605922,10.039165,,30
Simply Food,restaurant,"Fuhlsbüttler Straße, 397, 22309, Hamburg",53.602441,10.039735,,113
Pizza Jungs,restaurant,"Fuhlsbüttler Straße, 414, 22309",53.603194,10.040891,,31
Orientalische Bäckerei,bakery,"Fuhlsbüttler Straße, 468, 22309, Hamburg",53.606429,10.039535,,30
Hohenstein Räder,bicycle,"Fuhlsbüttler Straße, 468, 22309, Hamburg",53.606323,10.039597,,32
Dàm,restaurant,"Fuhlsbüttler Straße, 397, 22309, Hamburg",53.602425,10.039502,,138
Al Granada,restaurant,"Fuhlsbüttler Straße, 464, 22309, Hamburg",53.606050,10.039702,,29
Kebab Kitchen,restaurant,"Fuhlsbüttler Straße, 386, 22309, Hamburg",53.601862,10.041152,,30
Wüstenrose,restaurant,"Elligersweg, 1, 22307, Hamburg",53.605796,10.039977,,41
La Tropicana,restaurant,"Fuhlsbüttler Straße, 460",53.605004,10.040258,,29
Café Gourmet,cafe,"Elligersweg, 5, 22307, Hamburg",53.605533,10.040310,,59
Sushi für Hamburg,restaurant,Adresse unbekannt,53.605959,10.039779,,32
Restaurant Athen,restaurant,"Fuhlsbüttler Straße, 527, 22337, Hamburg",53.608912,10.037961,,41
Rio The Grillbar,restaurant,"Fuhlsbüttler Straße, 666, 22337, Hamburg",53.615022,10.035647,,33
Le Crobag,bakery,Adresse unbekannt,53.620671,10.031350,,238
Ditsch,bakery,"Fuhlsbüttler Straße, 761, 22337, Hamburg",53.620702,10.031812,,188
Cafe Restaurant Harmonie,cafe,Adresse unbekannt,53.620003,10.033001,,84
Ribling,restaurant,"Fuhlsbüttler Straße, 755-757, 22337, Hamburg",53.620554,10.033219,,47
Café Fritz,restaurant,"Fuhlsbüttler Straße, 758, 22337, Hamburg",53.623132,10.033122,,21
Café Schwesterherz,cafe,"Alsterdorfer Straße, 572",53.619757,10.033235,,65
Backwerk,bakery,Adresse unbekannt,53.620955,10.031532,,208
Café & au Lait,cafe,Adresse unbekannt,53.621021,10.032654,,88
Zur Ratsmühle,restaurant,"Ratsmühlendamm, 2, 22335, Hamburg",53.626432,10.029522,,243
Kobe Nord,restaurant,"Wellingsbütteler Landstraße, 43, 22337, Hamburg",53.627364,10.033047,,32
Café im Herrenhaus,cafe,"Wellingsbüttler Weg, 71, 22391, Hamburg",53.642959,10.071570,,82
The Locks,restaurant,"Marienhof, 6, 22399, Hamburg",53.657300,10.087087,,101
MAZZA,restaurant,"Poppenbütteler Weg, 236, 22399, Hamburg",53.658154,10.085477,,298
"Cafe Reinhardt - Bäckerei, Konditorei",bakery,"Poppenbüttler Hauptstraße, 37, 22399, Hamburg",53.665109,10.089726,,269
Cafe Reinhardt - Cafe,cafe,"Poppenbüttler Hauptstraße, 37, 22399, Hamburg",53.665013,10.089660,,268
Kleinhuis,restaurant,"Mellingburgredder, 1, 22395, Hamburg",53.670181,10.098094,,184
Zum Bäcker,restaurant,"Herrenhausallee, 9, 22397, Hamburg",53.709980,10.131968,,188
Wohldorfer Mühle,restaurant,"Mühlenredder, 38",53.709937,10.130157,,24
Bäckerei Hinze,bakery,Adresse unbekannt,53.709963,10.131698,,177
Waldesruh / Wilhelm,restaurant,Adresse unbekannt,53.748366,10.173942,,19
Lieblings,restaurant,"Waldweg, 6",53.762916,10.185118,,261
Café Vogelsand,bakery,"Mittelweg, 5, 23863, Bargfeld-Stegen",53.767255,10.186405,,12
Frischemarkt Märkl,supermarket,"Kayhuder Straße, 2, 23863, Bargfeld-Stegen",53.766629,10.186654,,47
Landbäckerei Matthiessen,bakery,"Am Markt, 2, 23867, Sülfeld",53.800177,10.231930,,9
Eiscafe Jella,cafe,Adresse unbekannt,53.799824,10.230505,,98
Kühl´s Restaurant,restaurant,Adresse unbekannt,53.803223,10.274518,,15
Drinking_water,drinking_water,Adresse unbekannt,53.836940,10.298594,,152
Zum Keglertreff,restaurant,Adresse unbekannt,53.920954,10.321540,,26
Park-Cafe,cafe,"Rosenstraße, 33-35, 23795, Bad Segeberg",53.925849,10.318640,,114
Florian Ritzki,restaurant,"Lübecker Landstraße, 18, 23795, Bad Segeberg",53.931538,10.325421,,257
Bäckerei Schmidt,bakery,Adresse unbekannt,54.015660,10.572470,,77
Ihr Fahrradprofi,bicycle,"Dieksbarg, 4, 23623, Ahrensbök",54.020068,10.576671,,158
Backbord,restaurant,"Strandallee, 49, 23683, Scharbeutz",54.046887,10.749850,,38
Brumund's Fischleckereien,restaurant,"Strandallee, 51, 23683, Scharbeutz",54.046490,10.749737,,39
Café Strandkorb,cafe,"Strandallee, 61, 23683, Scharbeutz",54.045116,10.749355,,40
Haus am Meer,cafe,Adresse unbekannt,54.040541,10.749589,,39
Bäckerei Schacht,bakery,"Strandallee, 25, 23683, Scharbeutz",54.049141,10.750758,,30
Café-Häuschen,cafe,"Strandallee, 17, 23683, Scharbeutz",54.050283,10.751403,,31
Janny's Eis,cafe,Adresse unbekannt,54.051716,10.752177,,20
Seßelberg,bakery,"Strandallee, 5, 23683, Scharbeutz",54.051617,10.752133,,19
Strand Café,cafe,"Strandallee, 6, 23683, Scharbeutz",54.051446,10.752044,,17
Sai Gon,restaurant,"Strandallee, 22, 23683, Scharbeutz",54.049707,10.750979,,40
Corfu,restaurant,Adresse unbekannt,54.051838,10.752252,,21
Vista Mare,restaurant,"23683, Scharbeutz",54.051157,10.751822,,34
Ostsee-Panorama,restaurant,Adresse unbekannt,54.049602,10.750914,,40
Kafferösterei,cafe,Adresse unbekannt,54.051350,10.751938,,22
Ocean's,restaurant,Adresse unbekannt,54.052115,10.752822,,22
Fischbrötchen .....Bistro..... Räucherfisch,restaurant,"Strandallee, 5, 23683, Scharbeutz",54.051779,10.752248,,18
Buhne 15,restaurant,Adresse unbekannt,54.050506,10.751272,,56
Weltumsegler,restaurant,Adresse unbekannt,54.075192,10.777714,,110
Cafeteria,cafe,Adresse unbekannt,54.074510,10.777375,,109
Drinking_water,drinking_water,Adresse unbekannt,54.074450,10.777385,,111
Birdie's,restaurant,"Gutshof, 9, 23730, Sierksdorf",54.081928,10.773615,,290
Wintershagen Gutshofcafé,cafe,"Gutshof, 9, 23730, Sierksdorf",54.081872,10.773619,,290
Rewe,supermarket,"Sierksdorfer Straße, 8, 23730, Neustadt in Holstein",54.097155,10.790180,,103
Ambrosia,restaurant,Adresse unbekannt,54.105989,10.809832,,49
Gemütlich Essen & Trinken,restaurant,Adresse unbekannt,54.106515,10.809506,,16
Eiscafe Vicino,cafe,"Untere Querstraße, 3, 23730, Neustadt in Holstein",54.107094,10.810495,,49
Nahkauf,supermarket,"Am Markt, 10, 23730, Neustadt in Holstein",54.107557,10.813344,,279
Mien Backstuuv,bakery,"Brückstraße, 2, 23730, Neustadt in Holstein",54.107225,10.813606,,239
KaffeeWestseite,cafe,"Bahnhofstraße, 16, 23730, Neustadt in Holstein",54.103997,10.807853,,238
Ristorante Vicino,restaurant,"Untere Querstraße, 3, 23730, Neustadt in Holstein",54.107129,10.810465,,54
