Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
Ristorante Pizzeria Spadaforte,restaurant,"Il Campo, 12-14, 53100, Siena",43.317904,11.331157,,116
Bar Il Palio,cafe,"Il Campo, 47, 53100, Siena",43.318945,11.331454,,24
Caffè Fonte Gaia,restaurant,"Il Campo, 21;23, 53100, Siena",43.318249,11.330941,,75
Salumeria Il Cencio,restaurant,"Il Campo, 70;71, 53100, Siena",43.318629,11.332612,,53
La Nuova Pasticceria,bakery,"Via Giovanni Duprè, 12, 53100, Siena",43.317694,11.331780,,164
Antica Trattoria Papei,restaurant,"Piazza del Mercato, 6, 53100, Siena",43.317038,11.332479,,225
Ristorante Gallo Nero,restaurant,"Via del Porrione, 65;67, 53100, Siena",43.317892,11.334464,,53
La Rosa,restaurant,"Via di Pantaneto, 63, 53100, Siena",43.317981,11.335153,,7
Taverna di Cecco,restaurant,"Via Cecco Angiolieri, 19, 53100, Siena",43.320009,11.331953,,87
Osteria Pizzeria Il Vicolo,restaurant,"Via del Porrione, 46, 53100, Siena",43.318342,11.333391,,56
Osteria Le logge,restaurant,"Via del Porrione, 33, 53100, Siena",43.318489,11.333362,,42
La Taverna di San Giuseppe,restaurant,"Via Giovanni Duprè, 132, 53100, Siena",43.315416,11.331708,,399
La Sosta di Violante,restaurant,"Via di Pantaneto, 115, 53100, Siena",43.317457,11.336344,,7
Osteria da Gano,restaurant,"Via di Pantaneto, 146, 53100, Siena",43.317140,11.336660,,7
Liberamente Osteria,restaurant,"Il Campo, 27, 53100, Siena",43.318346,11.330856,,65
L'Osteria del Bigelli,restaurant,"Il Campo, 60, 53100, Siena",43.318962,11.332086,,28
Key Largo,cafe,"Via Rinaldini, 17, 53100, Siena",43.318804,11.332596,,35
Bar osteria Il Bargello,restaurant,"Via di Città, 55, 53100, Siena",43.317906,11.330782,,115
All’Orto de' Pecci,restaurant,"Via di Porta Giustizia, 39, 53100, Siena",43.314704,11.335043,,330
Drinking_water,drinking_water,Adresse unbekannt,43.317582,11.342212,,379
La Finestra,restaurant,"Piazza del Mercato, 14, 53100, Siena",43.317417,11.332319,,191
Conad City,supermarket,"Via di Pantaneto, 141, 53100, Siena",43.317100,11.337174,,6
Te Ke Voi?,restaurant,"Vicolo San Pietro, 4, 53100, Siena",43.318990,11.331263,,13
Ristorante Al Mangia,restaurant,"Il Campo, 43, 53100, Siena",43.318832,11.331253,,27
Caffè L'Accademia,cafe,"Via di Città, 103, 53100, Siena",43.316844,11.330575,,235
Forno Sclavi,bakery,"53100, Siena",43.317315,11.336585,,5
Drinking_water,drinking_water,Adresse unbekannt,43.317287,11.332640,,194
Cor Magis,cafe,"Via del Porrione, 3, 53100, Siena",43.318610,11.332707,,52
Il Bandierino,restaurant,"Il Campo, 64;66, 53100, Siena",43.318823,11.332406,,38
Panificio Sclavi,bakery,"Il Campo, 56, 53100, Siena",43.319031,11.331893,,21
Manganelli,restaurant,"Il Campo, 54, 53100, Siena",43.319010,11.331721,,21
Il Campo,restaurant,"Il Campo, 50, 53100, Siena",43.318990,11.331588,,21
Cuoricino,restaurant,"Il Campo, 37-38, 53100, Siena",43.318706,11.331040,,26
Alla Speranza,restaurant,"Il Campo, 32-36, 53100, Siena",43.318654,11.330972,,30
Caffè A. Nannini,cafe,"Il Campo, 33, 53100, Siena",43.318596,11.330929,,37
Bibò,cafe,"Via Banchi di Sotto, 63, 53100, Siena",43.318978,11.333318,,7
Trefilari Wine Bar,cafe,"Via Banchi di Sotto, 51, 53100, Siena",43.319203,11.332552,,5
Caffe A. Nannini,cafe,"Il Campo, 57, 53100, Siena",43.318990,11.332007,,25
Osteria al Palchetto,restaurant,"53100, Siena",43.318544,11.333176,,42
Casa Tua,restaurant,"34, 53100, Siena",43.317620,11.332879,,150
Bar Romana,cafe,"Via di Pantaneto, 155;159, 53100, Siena",43.317009,11.337470,,5
Caffè 19zero3,cafe,"18;19;20, 53100, Siena",43.317636,11.332175,,173
Ri.Me.,restaurant,"Via Giovanni Duprè, 90, 53100, Siena",43.316346,11.331786,,301
Sclavi 1949,cafe,Adresse unbekannt,43.319013,11.331944,,23
savelli,restaurant,Adresse unbekannt,43.318850,11.332323,,37
Tea room,cafe,"Via porta Giustizia, 11, 53100, Siena",43.317176,11.333617,,168
Panificio Pasticceria San Girolamo,bakery,"Via San Girolamo, 9;11, 53100, Siena",43.316617,11.336805,,56
Drinking_water,drinking_water,Adresse unbekannt,43.317468,11.342075,,359
Conad City,supermarket,"Via di Città, 99, 53100, Siena",43.316948,11.330671,,222
Ristorante Pizzeria Calra e Franca,restaurant,"Via di Pantaneto, 138, 53100, Siena",43.317192,11.336554,,8
Drinking_water,drinking_water,Adresse unbekannt,43.314530,11.335186,,340
Trefilari,restaurant,"Via di Pantaneto, 32, 53100, Siena",43.318461,11.334301,,7
HostariadiPantaneto55,restaurant,"Via di Pantaneto, 55, 53100, Siena",43.318391,11.334716,,8
Bottega Roots Siena,restaurant,"Via di Pantaneto, 58, 53100, Siena",43.318210,11.334773,,5
Meet Life Cafè,cafe,"Via di Pantaneto, 90, 53100, Siena",43.317780,11.335448,,8
The Biryani House,restaurant,"Via di Pantaneto, 110, 53100, Siena",43.317515,11.335892,,8
Coco Sushi,restaurant,"Via di Pantaneto, 107, 53100, Siena",43.317617,11.336106,,12
Bar Compagnia Delle Muse,cafe,"Via di Pantaneto, 1, 53100, Siena",43.317013,11.336802,,15
Trattoria Cane e Gatto,restaurant,"Via Pagliaresi, 6, 53100, Siena",43.316969,11.336718,,23
Bar Rondine,cafe,"Via dei Pispini, 105, 53100, Siena",43.317898,11.339418,,181
Ristorante Tar-Tufo,restaurant,"Via del Sole, 6, 53100, Siena",43.316368,11.334793,,179
Tuscany Food Experience,restaurant,"Vicolo della Manna, 1, 53100, Siena",43.317984,11.333040,,106
Bar Porrione B&B,cafe,"Via del Porrione, 14, 53100, Siena",43.318505,11.332732,,62
Restaurant,restaurant,"Via Rinaldini, 12, 53100, Siena",43.318869,11.332503,,31
Un Tubo,cafe,"Vicolo del Luparello, 2, 53100, Siena",43.318078,11.333491,,80
Non Solo Bar,restaurant,"Via del Porrione, 58, 53100, Siena",43.318224,11.333578,,62
Restaurant,restaurant,"Via del Porrione, 64, 53100, Siena",43.318158,11.333693,,65
Il Ristoro del Papa,restaurant,"Logge del Papa, 1, 53100, Siena",43.318462,11.333825,,28
Osteria Pizzeria Sotto le Logge del Papa,restaurant,"Logge del Papa, 1, 53100, Siena",43.318557,11.333756,,21
Ristorante Il Tufo,restaurant,"15, 53100, Siena",43.318138,11.331019,,88
Ristorante Pizzeria Il Mulino,restaurant,"15, 53100, Siena",43.318039,11.331083,,99
ChigianArtCafè,cafe,"Via di Città, 89, 53100, Siena",43.317216,11.330892,,190
Osteria da Salvini,restaurant,"Via di Città, 122, 53100, Siena",43.317095,11.330626,,207
Casato Ristorante Wine Bar,restaurant,"Casato di Sotto, 18;26, 53100, Siena",43.317622,11.331334,,151
Osteria Il Carroccio,restaurant,"Casato di Sotto, 32, 53100, Siena",43.317497,11.331378,,165
Antica Trattoria L'Aquila,restaurant,"Casato di Sotto, 58, 53100, Siena",43.316949,11.331261,,222
Bar a Onda,cafe,"Via Giovanni Duprè, 53, 53100, Siena",43.316393,11.332003,,304
Mensa dell'Università degli Studi di Siena,restaurant,"Via Sallustio Bandini, 53100, Siena",43.319320,11.334031,,68
SchiacciaMangia,restaurant,"Via delle Donzelle, 1, 53100, Siena",43.319321,11.332228,,12
Restaurant,restaurant,"Via di Calzoleria, 16, 53100, Siena",43.319530,11.331828,,34
Il Biondo,restaurant,"Vicolo del Rustichetto, 10, 53100, Siena",43.321527,11.329730,,314
Bar Ristorante Rustichetto,restaurant,"Via Della Sapienza, 45, 53100, Siena",43.320362,11.327386,,426
Ristorante Vivace,restaurant,"Via Stalloreggi, 62, 53100, Siena",43.315376,11.328278,,493
Panificio Il Magnifico,bakery,"Via dei Pellegrini, 27, 53100, Siena",43.318277,11.329815,,145
Caffetteria Il Magnifico,cafe,"Piazza San Giovanni, 1, 53100, Siena",43.318270,11.329639,,163
Il Battistero Bistrot,cafe,"Piazza San Giovanni, 2, 53100, Siena",43.318237,11.329588,,170
Ristorante Mugolone,restaurant,"Via dei Pellegrini, 8;12, 53100, Siena",43.318392,11.330200,,102
