Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
Oasi,restaurant,"Viale Italia, 225, 58022, Follonica",42.930225,10.736005,,14
Cerboli osteria del mare,restaurant,"Viale Italia, 221, 58022, Follonica",42.929700,10.737516,,16
Conad City,supermarket,"Via Litoranea, 81b, 58022, Follonica",42.927349,10.747012,,137
La Taverna di Pulcinella,restaurant,"Via Alfonso Lamarmora, 70, 58022, Follonica",42.926753,10.746290,,41
Cicli e Sport,bicycle,"Via Litoranea, 57, 58022, Follonica",42.926729,10.749406,,200
In's Mercato,supermarket,"Via Vincenzo Bellini, 22, 58022, Follonica",42.926612,10.751180,,281
Sbocciodromo,restaurant,Adresse unbekannt,42.925944,10.748478,,75
pizzeria Aió,restaurant,"Via dei Pini, 6, 58022, Follonica",42.927521,10.746121,,108
Bar Parrini,cafe,"Viale Italia, 99, 58022, Follonica",42.924322,10.749928,,8
Bar Pasticceria Napoletana Bianchi,cafe,"Via Litoranea, 81, 58022, Follonica",42.927317,10.747109,,139
Pinseria Etrusca,restaurant,"Via Milton Bartoli, 4, 58022, Follonica",42.927732,10.747499,,199
Bar Jolly,cafe,"Via Litoranea, 33, 58022, Follonica",42.926428,10.750571,,231
note di mare,cafe,"Via Litoranea, 79, 58022, Follonica",42.927172,10.748122,,177
Panetteria Vatti,bakery,"Via Domenico Cimarosa, 3, 58022, Follonica",42.927112,10.748025,,166
Panificio Giancarlo,bakery,"Via Arturo Toscanini, 2, 58022, Follonica",42.925805,10.750017,,141
Aloha Restaurant,restaurant,"Piazza 25 Aprile, 34, 58022, Follonica",42.920261,10.757442,,18
Ristorante Abissinia,restaurant,"Via Albereta, 41, 58022, Follonica",42.921040,10.758015,,125
Limonaia,restaurant,"Via Roma, 15, 58022, Follonica",42.921574,10.757194,,123
Ristorante Cinese Oriente,restaurant,"Viale Giosuè Carducci, 27, 58022, Follonica",42.919967,10.757776,,9
Restaurant,restaurant,Adresse unbekannt,42.923902,10.752159,,67
Drinking_water,drinking_water,Adresse unbekannt,42.923659,10.753738,,125
