Name,Typ,Adresse,Latitude,Longitude
Caffè A. Nannini,cafe,"Il Campo, 33, 53100, Siena",43.3185961,11.3309289
Bibò,cafe,"Via Banchi di Sotto, 63, 53100, Siena",43.3189784,11.333318
Trefilari Wine Bar,cafe,"Via Banchi di Sotto, 51, 53100, Siena",43.3192029,11.332552
Il Cavallino Bianco,restaurant,"Via di Città, 20, 53100, Siena",43.318986,11.3309818
Nuovo Caffè Greco,cafe,"Via di Città, 24, 53100, Siena",43.3189322,11.3308892
Caffetteria Torrefazione Fiorella,cafe,"Via di Città, 13, 53100, Siena",43.3187874,11.3308776
Caffe A. Nannini,cafe,"Il Campo, 57, 53100, Siena",43.3189899,11.3320074
Tre Cristi Enoteca Ristorante,restaurant,"Vicolo di Provenzano, 1, 53100, Siena",43.3215408,11.3327301
Osteria al Palchetto,restaurant,"53100, Siena",43.3185436,11.3331757
Caffè La Piazzetta,cafe,"Via dei Montanini, 52, 53100, Siena",43.3218083,11.3297477
Caffè del Corso,cafe,"Banchi di Sopra, 25, 53100, Siena",43.319601,11.3312384
Pizzeria Alle Scalette,restaurant,"Viale Curtatone, 18, 53100, Siena",43.321424,11.3282757
La Locanda dei Tintori,restaurant,"Via dei Pittori, 13, 53100, Siena",43.320151,11.3296833
In Carrozza,restaurant,"Vicolo delle Carrozze, 1, 53100, Siena",43.3183909,11.328569
Osteria Quattro Venti,restaurant,"Via San Pietro, 68, 53100, Siena",43.315194,11.3303645
Casa Tua,restaurant,"34, 53100, Siena",43.3176201,11.3328787
San Domenico,restaurant,"Via del Camporegio, 17, 53100, Siena",43.3201972,11.3283059
Boccon del Prete,restaurant,"Via San Pietro, 17, 53100, Siena",43.315941,11.3302378
Compagnia dei Vinattieri,restaurant,"Via delle Terme, 79, 53100, Siena",43.3202605,11.3301366
Caffè 19zero3,cafe,"18;19;20, 53100, Siena",43.3176365,11.3321746
Osteria Le Sorelline,restaurant,"Via dei Rossi, 76, 53100, Siena",43.3217357,11.3324382
Tigella Emilia,restaurant,"Via dei Rossi, 65, 53100, Siena",43.3215488,11.3318893
Il Sasso,restaurant,"Via dei Rossi, 2, 53100, Siena",43.3207058,11.3312109
Forno Sclavi,bakery,"53100, Siena",43.3163477,11.3300139
Trattoria I Barberi,restaurant,"Via di Stalloreggi, 10, 53100, Siena",43.3159937,11.329567
Trattoria Stalloreggi,restaurant,"Via di Stalloreggi, 37, 53100, Siena",43.3155142,11.3293087
Ri.Me.,restaurant,"Via Giovanni Duprè, 90, 53100, Siena",43.3163457,11.331786
Sclavi 1949,cafe,Adresse unbekannt,43.3190126,11.3319438
savelli,restaurant,Adresse unbekannt,43.3188501,11.3323235
Tea room,cafe,"Via porta Giustizia, 11, 53100, Siena",43.3171762,11.3336172
Piripi Pizza Urban Food,restaurant,"Via dei Rossi, 69, 53100, Siena",43.3216309,11.3320023
Conad City,supermarket,"Viale Curtatone, 16, 53100, Siena",43.32136,11.3282138
