Name,Typ,Adresse,Latitude,Longitude
Osteria Pizzeria Il Vicolo,restaurant,"Via del Porrione, 46, 53100, Siena",43.3183417,11.3333912
Osteria Le logge,restaurant,"Via del Porrione, 33, 53100, Siena",43.318489,11.3333619
La Taverna di San Giuseppe,restaurant,"Via Giovanni Duprè, 132, 53100, Siena",43.3154161,11.3317078
La Sosta di Violante,restaurant,"Via di Pantaneto, 115, 53100, Siena",43.3174571,11.3363445
Osteria da Gano,restaurant,"Via di Pantaneto, 146, 53100, Siena",43.3171398,11.3366602
Liberamente Osteria,restaurant,"Il Campo, 27, 53100, Siena",43.3183462,11.3308556
L'Osteria del Bigelli,restaurant,"Il Campo, 60, 53100, Siena",43.3189621,11.3320864
Key Largo,cafe,"Via Rinaldini, 17, 53100, Siena",43.318804,11.3325959
Bar osteria Il Bargello,restaurant,"Via di Città, 55, 53100, Siena",43.3179057,11.3307822
All’Orto de' Pecci,restaurant,"Via di Porta Giustizia, 39, 53100, Siena",43.3147045,11.3350429
Drinking_water,drinking_water,Adresse unbekannt,43.317582,11.3422117
La Finestra,restaurant,"Piazza del Mercato, 14, 53100, Siena",43.317417,11.3323194
Conad City,supermarket,"Via di Pantaneto, 141, 53100, Siena",43.3170997,11.3371735
Te Ke Voi?,restaurant,"Vicolo San Pietro, 4, 53100, Siena",43.3189899,11.3312626
Ristorante Al Mangia,restaurant,"Il Campo, 43, 53100, Siena",43.318832,11.3312532
Caffè L'Accademia,cafe,"Via di Città, 103, 53100, Siena",43.3168439,11.3305748
Forno Sclavi,bakery,"53100, Siena",43.3173148,11.3365855
Drinking_water,drinking_water,Adresse unbekannt,43.3172866,11.3326396
Cor Magis,cafe,"Via del Porrione, 3, 53100, Siena",43.3186098,11.3327067
Il Bandierino,restaurant,"Il Campo, 64;66, 53100, Siena",43.3188231,11.3324064
Panificio Sclavi,bakery,"Il Campo, 56, 53100, Siena",43.3190308,11.3318933
Manganelli,restaurant,"Il Campo, 54, 53100, Siena",43.3190103,11.3317209
Il Campo,restaurant,"Il Campo, 50, 53100, Siena",43.3189895,11.3315883
Cuoricino,restaurant,"Il Campo, 37-38, 53100, Siena",43.3187056,11.3310399
Alla Speranza,restaurant,"Il Campo, 32-36, 53100, Siena",43.3186536,11.3309722
Caffè A. Nannini,cafe,"Il Campo, 33, 53100, Siena",43.3185961,11.3309289
Bibò,cafe,"Via Banchi di Sotto, 63, 53100, Siena",43.3189784,11.333318
Trefilari Wine Bar,cafe,"Via Banchi di Sotto, 51, 53100, Siena",43.3192029,11.332552
Caffe A. Nannini,cafe,"Il Campo, 57, 53100, Siena",43.3189899,11.3320074
Osteria al Palchetto,restaurant,"53100, Siena",43.3185436,11.3331757
Casa Tua,restaurant,"34, 53100, Siena",43.3176201,11.3328787
Bar Romana,cafe,"Via di Pantaneto, 155;159, 53100, Siena",43.3170093,11.3374703
Caffè 19zero3,cafe,"18;19;20, 53100, Siena",43.3176365,11.3321746
Ri.Me.,restaurant,"Via Giovanni Duprè, 90, 53100, Siena",43.3163457,11.331786
Sclavi 1949,cafe,Adresse unbekannt,43.3190126,11.3319438
savelli,restaurant,Adresse unbekannt,43.3188501,11.3323235
Tea room,cafe,"Via porta Giustizia, 11, 53100, Siena",43.3171762,11.3336172
Panificio Pasticceria San Girolamo,bakery,"Via San Girolamo, 9;11, 53100, Siena",43.3166172,11.3368048
Drinking_water,drinking_water,Adresse unbekannt,43.3174679,11.3420745
Conad City,supermarket,"Via di Città, 99, 53100, Siena",43.316948,11.3306711
Ristorante Pizzeria Calra e Franca,restaurant,"Via di Pantaneto, 138, 53100, Siena",43.3171923,11.3365538
Drinking_water,drinking_water,Adresse unbekannt,43.3145302,11.3351859
Trefilari,restaurant,"Via di Pantaneto, 32, 53100, Siena",43.3184615,11.3343013
HostariadiPantaneto55,restaurant,"Via di Pantaneto, 55, 53100, Siena",43.3183914,11.3347157
Bottega Roots Siena,restaurant,"Via di Pantaneto, 58, 53100, Siena",43.3182099,11.3347734
Meet Life Cafè,cafe,"Via di Pantaneto, 90, 53100, Siena",43.3177796,11.3354483
The Biryani House,restaurant,"Via di Pantaneto, 110, 53100, Siena",43.317515,11.3358918
Coco Sushi,restaurant,"Via di Pantaneto, 107, 53100, Siena",43.3176175,11.3361058
Bar Compagnia Delle Muse,cafe,"Via di Pantaneto, 1, 53100, Siena",43.3170127,11.3368024
Trattoria Cane e Gatto,restaurant,"Via Pagliaresi, 6, 53100, Siena",43.316969,11.3367184
Bar Rondine,cafe,"Via dei Pispini, 105, 53100, Siena",43.3178979,11.339418
Ristorante Tar-Tufo,restaurant,"Via del Sole, 6, 53100, Siena",43.3163682,11.3347929
Tuscany Food Experience,restaurant,"Vicolo della Manna, 1, 53100, Siena",43.317984,11.3330396
Bar Porrione B&B,cafe,"Via del Porrione, 14, 53100, Siena",43.3185047,11.3327316
Restaurant,restaurant,"Via Rinaldini, 12, 53100, Siena",43.3188685,11.3325026
Un Tubo,cafe,"Vicolo del Luparello, 2, 53100, Siena",43.3180784,11.3334908
Non Solo Bar,restaurant,"Via del Porrione, 58, 53100, Siena",43.318224,11.3335779
Restaurant,restaurant,"Via del Porrione, 64, 53100, Siena",43.3181583,11.3336929
Il Ristoro del Papa,restaurant,"Logge del Papa, 1, 53100, Siena",43.3184616,11.3338246
Osteria Pizzeria Sotto le Logge del Papa,restaurant,"Logge del Papa, 1, 53100, Siena",43.3185567,11.3337557
Ristorante Il Tufo,restaurant,"15, 53100, Siena",43.3181378,11.3310191
Ristorante Pizzeria Il Mulino,restaurant,"15, 53100, Siena",43.3180394,11.3310828
ChigianArtCafè,cafe,"Via di Città, 89, 53100, Siena",43.3172163,11.3308923
Osteria da Salvini,restaurant,"Via di Città, 122, 53100, Siena",43.317095,11.3306265
Casato Ristorante Wine Bar,restaurant,"Casato di Sotto, 18;26, 53100, Siena",43.3176223,11.3313339
Osteria Il Carroccio,restaurant,"Casato di Sotto, 32, 53100, Siena",43.3174966,11.3313776
