Latitude,Longitude
43.168407,10.734713
43.167692,10.734614
43.167263,10.733266
43.166634,10.732873
43.166138,10.732228
43.160787,10.730545
43.160406,10.730063
43.159486,10.729635
43.158522,10.728696
43.152519,10.724699
43.151832,10.724398
43.150233,10.724683
43.149987,10.725355
43.149484,10.728381
43.146721,10.730858
43.144863,10.731526
43.143648,10.731635
43.142638,10.732077
43.142189,10.732044
43.139181,10.729888
43.138523,10.728902
43.137463,10.728353
43.133508,10.723001
43.132282,10.721894
43.130321,10.719265
43.126858,10.717373
43.125491,10.716986
43.12485,10.71977
43.12453,10.72019
43.12248,10.72152
43.12047,10.72125
43.11792,10.71913
43.11518,10.72017
43.11397,10.72033
43.11335,10.72057
43.11273,10.72147
43.11245,10.72343
43.11,10.72517
43.10873,10.72731
43.10643,10.72649
43.10367,10.7259
43.09925,10.72596
43.09855,10.72614
43.094,10.72821
43.08777,10.72988
43.08373,10.72904
43.08329,10.72866
43.0718,10.71415
43.07194,10.71354
43.07515,10.70882
43.07767,10.70175
43.078687,10.695263
43.078729,10.693717
43.077784,10.69201
43.0771,10.689077
43.075656,10.68515
43.075368,10.68354
43.075417,10.681877
43.075955,10.681255
43.076686,10.680993
43.076984,10.680619
43.077022,10.680192
43.076648,10.678324
43.075943,10.677421
43.074899,10.674986
43.074516,10.673421
43.072707,10.670837
43.071985,10.670287
43.071461,10.66948
43.070163,10.668318
43.06931,10.665917
43.068688,10.662967
43.068325,10.661996
43.067873,10.661398
43.067283,10.659411
43.066419,10.658466
43.065309,10.65499
43.064969,10.654521
43.064179,10.654126
43.06276,10.652373
43.062543,10.649937
43.062584,10.646976
43.061328,10.644122
43.061292,10.642834
43.061688,10.641898
43.061181,10.639859
43.060918,10.639557
43.0604,10.639822
43.060116,10.639503
43.059411,10.639219
43.057277,10.637773
43.055099,10.635365
43.054476,10.635172
43.05369,10.635276
43.051487,10.634493
43.049808,10.632819
43.048978,10.633423
43.047423,10.634198
43.046221,10.635243
43.045634,10.634632
43.045266,10.633163
43.044563,10.631444
43.044091,10.631999
43.043693,10.631641
43.042813,10.631402
43.042139,10.630909
43.04038,10.631626
43.040242,10.631542
43.039775,10.6289
43.038677,10.628262
43.037159,10.624871
43.035445,10.619883
43.035132,10.618335
43.034853,10.61522
43.034865,10.613246
43.035091,10.611809
43.03494,10.610443
43.030453,10.609031
43.028463,10.606237
43.029725,10.604658
