Latitude,Longitude,Street,City,Surface,Tracktype,Highway,Smoothness,OSM_Way_ID
43.075788,10.674500,Località Quattrino,Suvereto,unknown,,,,
43.075682,10.674738,Località Quattrino,Suvereto,unknown,,,,
43.075065,10.674799,Località Quattrino,Suvereto,unknown,,,,
43.074949,10.675057,Località Quattrino,Suvereto,unknown,,,,
43.075943,10.677421,Località Quattrino,Suvereto,unknown,,,,
43.076648,10.678324,Località Quattrino,Suvereto,unknown,,,,
43.077040,10.680449,Via Val di Cornia,Suvereto,unknown,,,,
43.076569,10.681103,Via Val di Cornia,Suvereto,unknown,,,,
43.075955,10.681255,Via Val di Cornia,Suvereto,unknown,,,,
43.075321,10.682161,Via Val di Cornia,Suvereto,unknown,,,,
43.075553,10.684672,Via Val di Cornia,Suvereto,unknown,,,,
43.075295,10.685255,Via Val di Cornia,Suvereto,unknown,,,,
43.075451,10.685973,Via Val di Cornia,Suvereto,unknown,,,,
43.075428,10.689387,Via Val di Cornia,Suvereto,unknown,,,,
43.074617,10.689932,Via Val di Cornia,Suvereto,unknown,,,,
43.073756,10.690969,Via Val di Cornia,Suvereto,unknown,,,,
43.073667,10.691888,Via Val di Cornia,Suvereto,unknown,,,,
43.073142,10.693430,Via Val di Cornia,Suvereto,unknown,,,,
43.072211,10.695695,Unbekannte Straße,Suvereto,unknown,,,,
43.071369,10.696885,Unbekannte Straße,Suvereto,unknown,,,,
43.070742,10.696917,Unbekannte Straße,Suvereto,unknown,,,,
43.070142,10.697191,Unbekannte Straße,Suvereto,unknown,,,,
43.070065,10.697090,Unbekannte Straße,Suvereto,unknown,,,,
43.068862,10.692571,Unbekannte Straße,Suvereto,unknown,,,,
43.068563,10.692029,Unbekannte Straße,Suvereto,unknown,,,,
43.068085,10.691800,Unbekannte Straße,Suvereto,unknown,,,,
43.067629,10.691952,Unbekannte Straße,Suvereto,unknown,,,,
43.067264,10.691557,Unbekannte Straße,Suvereto,unknown,,,,
43.067000,10.691541,Unbekannte Straße,Suvereto,unknown,,,,
43.065991,10.692131,Unbekannte Straße,Suvereto,unknown,,,,
43.065684,10.692587,Unbekannte Straße,Suvereto,unknown,,,,
43.064598,10.693550,Unbekannte Straße,Suvereto,unknown,,,,
