Name,Typ,Adresse,Latitude,Longitude
Bar Gelateria Ramazzotti,cafe,"Viale Italia, 220, 58022, Follonica",42.9311793,10.7337716
Ristorante Pizzeria Ramazzotti,restaurant,"Viale Italia, 218, 58022, Follonica",42.9311456,10.7338784
La Lanternina 2,restaurant,"Viale Italia, 160, 58022, Follonica",42.9296181,10.738424
Nettuno,restaurant,"Viale Italia, 233, 58022, Follonica",42.9307097,10.7346639
Oasi,restaurant,"Viale Italia, 225, 58022, Follonica",42.9302249,10.7360049
Cerboli osteria del mare,restaurant,"Viale Italia, 221, 58022, Follonica",42.9296999,10.7375159
Conad City,supermarket,"Via Litoranea, 81b, 58022, Follonica",42.927349,10.7470123
La Taverna di Pulcinella,restaurant,"Via Alfonso Lamarmora, 70, 58022, Follonica",42.9267534,10.7462904
Drinking_water,drinking_water,Adresse unbekannt,42.9276183,10.750399
Cicli e Sport,bicycle,"Via Litoranea, 57, 58022, Follonica",42.9267287,10.7494064
In's Mercato,supermarket,"Via Vincenzo Bellini, 22, 58022, Follonica",42.9266123,10.7511798
Sbocciodromo,restaurant,Adresse unbekannt,42.9259441,10.7484784
pizzeria Aió,restaurant,"Via dei Pini, 6, 58022, Follonica",42.9275207,10.7461213
Bar Parrini,cafe,"Viale Italia, 99, 58022, Follonica",42.9243218,10.7499279
Bar Pasticceria Napoletana Bianchi,cafe,"Via Litoranea, 81, 58022, Follonica",42.9273166,10.7471091
casa dell'acqua,drinking_water,Adresse unbekannt,42.9276292,10.7503302
Pinseria Etrusca,restaurant,"Via Milton Bartoli, 4, 58022, Follonica",42.9277323,10.7474995
Bar Jolly,cafe,"Via Litoranea, 33, 58022, Follonica",42.9264276,10.7505711
note di mare,cafe,"Via Litoranea, 79, 58022, Follonica",42.9271716,10.7481223
Panetteria Vatti,bakery,"Via Domenico Cimarosa, 3, 58022, Follonica",42.9271119,10.748025
Panificio Giancarlo,bakery,"Via Arturo Toscanini, 2, 58022, Follonica",42.9258049,10.7500166
Aloha Restaurant,restaurant,"Piazza 25 Aprile, 34, 58022, Follonica",42.9202611,10.757442
Ristorante Abissinia,restaurant,"Via Albereta, 41, 58022, Follonica",42.9210399,10.758015
Limonaia,restaurant,"Via Roma, 15, 58022, Follonica",42.9215737,10.7571939
Ristorante Cinese Oriente,restaurant,"Viale Giosuè Carducci, 27, 58022, Follonica",42.9199673,10.7577762
Restaurant,restaurant,Adresse unbekannt,42.9239022,10.7521588
Drinking_water,drinking_water,Adresse unbekannt,42.9236589,10.7537378
La casa del grano 2,bakery,"Via Cristoforo Colombo, 28d, 58022, Follonica",42.9242618,10.7563766
Panificio Mura,bakery,"Via Norma Pratelli Parenti, 9a, 58022, Follonica",42.9220658,10.7575238
Bonaluna BarCaffè,cafe,"Via Agostino Bertani, 5, 58022, Follonica",42.9215958,10.7569446
Pizzeria Vecchia Maremma,restaurant,"Via Antonio Fratti, 7, 58022, Follonica",42.9213562,10.7563655
Ricceri Bike Rent,bicycle,"Via Emilio Bicocchi, 149, 58022, Follonica",42.9263326,10.7540805
Trattoria Santarino,restaurant,"Piazza Ventiquattro Maggio, 21, 58022, Follonica",42.9230067,10.7582706
gran caffè della stazione,cafe,Adresse unbekannt,42.9265162,10.7559609
Caffè Roma,cafe,"Via Roma, 77, 58022, Follonica",42.9224262,10.7589235
Ristorante Pizzeria Caribia 2,restaurant,"Via Bruno Buozzi, 6, 58022, Follonica",42.9227137,10.7553514
Super Natural Bikepoint,bicycle,"Via Amorotti, 6, 58022, Follonica",42.9220059,10.7594917
Drinking_water,drinking_water,Adresse unbekannt,42.9212893,10.7588689
inCoop,supermarket,"Via Giovanni Bovio, 16, 58022, Follonica",42.9235507,10.7578963
Silver Park Cafè,cafe,"Via Dante Alighieri, 38, 58022, Follonica",42.9227805,10.7549078
dolce aroma,cafe,"Via Guglielmo Marconi, 7, 58022, Follonica",42.9230996,10.7582076
Panineria I'Bischero,restaurant,"Via Albereta, 45, 58022, Follonica",42.920963,10.757814
John Bistecchino,restaurant,"Via Albereta, 9, 58022, Follonica",42.9214968,10.7595598
Il Fornaio,bakery,"Piazza Ventiquattro Maggio, 30, 58022, Follonica",42.9224083,10.7582077
Lo Scarrozzo,restaurant,"Via Pierluigi Petrini, 8, 58022, Follonica",42.9225307,10.7587019
Deh Gustibus - osteria,restaurant,"Piazza Ventiquattro Maggio, 15, 58022, Follonica",42.9230236,10.7578627
da Cuore,restaurant,"Via Guglielmo Marconi, 2, 58022, Follonica",42.923289,10.7583739
Enogastronomia Marrini,restaurant,"Via Emilio Bicocchi, 83, 58022, Follonica",42.9239674,10.7579374
Riso & Sorriso,restaurant,"Via Giovanni Bovio, 11, 58022, Follonica",42.923686,10.7580629
la panetteria,bakery,"Via Emilio Bicocchi, 101, 58022, Follonica",42.9244558,10.7573999
Bike Rent,bicycle,"Via Cristoforo Colombo, 36, 58022, Follonica",42.9244827,10.7561837
Bike Line,bicycle,"Via Cristoforo Colombo, 44a, 58022, Follonica",42.9248535,10.7558443
Jiuba,restaurant,"Via Emilio Bicocchi, 131, 58022, Follonica",42.9258704,10.7558728
Il fornaio di Caldana,bakery,"Viale Giacomo Matteotti, 39, 58022, Follonica",42.924753,10.7550204
Crema & Cioccolato,cafe,"Viale Giacomo Matteotti, 31c, 58022, Follonica",42.9248945,10.7550891
