Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
Il Mestolo,restaurant,"Via Fiorentina, 81, 53100, Siena",43.339711,11.305718,,14
Bottega di Rosaria,restaurant,"Via Fiorentina, 151, 53100, Siena",43.342392,11.305820,,15
Pizzeria Poppi,restaurant,"Via Fiorentina, 105, 53100, Siena",43.341081,11.305827,,15
Drinking_water,drinking_water,Adresse unbekannt,43.344594,11.300202,,7
Osteria Alimentari Tanaliberatutti,restaurant,"Via Uopini, 1, 53035, Siena",43.344600,11.299965,,6
Casa dell'Acqua,drinking_water,Adresse unbekannt,43.344309,11.285209,,23
Drinking_water,drinking_water,Adresse unbekannt,43.373272,11.235698,,2
XXXI Canto,cafe,Adresse unbekannt,43.389788,11.223964,,12
Antico Travaglio,restaurant,"Piazza Dante Alighieri, 6/a, 53035",43.389719,11.223796,,9
La Bottega del Castello,cafe,Adresse unbekannt,43.389773,11.223643,,3
Il Tagliere Medievale,restaurant,Adresse unbekannt,43.389780,11.223607,,3
Bar dell'Orso,restaurant,"Via Cassia, 23, 53035, Monteriggioni",43.392789,11.218830,,14
Drinking_water,drinking_water,Adresse unbekannt,43.392954,11.218939,,33
Drinking_water,drinking_water,Adresse unbekannt,43.389982,11.223233,,1
Drinking_water,drinking_water,Adresse unbekannt,43.390058,11.222672,,11
Drinking_water,drinking_water,Adresse unbekannt,43.390342,11.222376,,4
Bar Ristorante Il Feudo,restaurant,Adresse unbekannt,43.389910,11.223261,,7
Ristorante da Remo,restaurant,"Via 1 Maggio, 2, 53035, Monteriggioni",43.390168,11.223337,,18
Drinking_water,drinking_water,Adresse unbekannt,43.390618,11.224252,,84
Drinking_water,drinking_water,Adresse unbekannt,43.390109,11.223468,,11
Pit Stop 17,cafe,Adresse unbekannt,43.390305,11.222650,,13
Ristorante Le Torri,restaurant,"Piazza Roma,, 20, 53035, Monteriggioni",43.390110,11.223271,,13
Drinking_water,drinking_water,Adresse unbekannt,43.390269,11.223629,,36
Drinking_water,drinking_water,Adresse unbekannt,43.387959,11.194819,,9
Futura Osteria di Abbadia Isola,restaurant,Adresse unbekannt,43.387563,11.195324,,78
Cafe,cafe,Adresse unbekannt,43.387598,11.195103,,60
Circolo ARCI,cafe,Adresse unbekannt,43.387867,11.194374,,14
Drinking_water,drinking_water,Adresse unbekannt,43.383835,11.186761,,147
Drinking_water,drinking_water,Adresse unbekannt,43.377529,11.170359,,197
Bar Pizzeria Ristorante Alimentari Locanda di Strove,restaurant,Adresse unbekannt,43.378247,11.172076,,21
Casalta ristorante & winebar,restaurant,Adresse unbekannt,43.379391,11.171976,,14
Drinking_water,drinking_water,Adresse unbekannt,43.379143,11.171843,,6
Drinking_water,drinking_water,Adresse unbekannt,43.394168,11.161278,,11
Profuma di Pane,bakery,"53034, Colle di Val d'Elsa",43.400811,11.133743,,297
Indios,restaurant,Adresse unbekannt,43.404709,11.133800,,29
PlayGame,cafe,Adresse unbekannt,43.404600,11.133843,,31
Cafe,cafe,Colle di Val d'Elsa,43.407537,11.124703,,216
Drinking_water,drinking_water,Adresse unbekannt,43.408846,11.099479,,7
Bar Campiglia,cafe,Adresse unbekannt,43.414644,11.079996,,98
Restaurant,restaurant,Adresse unbekannt,43.415497,11.078150,,189
Punto di Ristoro sulla Via Francigena,cafe,Strada Provinciale di Grotti,43.432667,11.067844,,44
Drinking_water,drinking_water,Adresse unbekannt,43.469915,11.040992,,218
Bar Piazetta,cafe,Adresse unbekannt,43.469617,11.041233,,260
Echoes Bruschetteria,restaurant,"vicolo Mainardi, 10, 53037, San Gimignano",43.469423,11.040937,,267
Ristorante Fuoriluogo,restaurant,"Via Niccolò Cannicci, 2/a, 53037, San Gimignano",43.470681,11.040260,,111
Magnino,restaurant,Adresse unbekannt,43.469681,11.041190,,251
Ristorante il Pino,restaurant,Adresse unbekannt,43.470055,11.041455,,232
LaVecchia Nicchia,restaurant,Adresse unbekannt,43.469850,11.041716,,268
Il Trovatore,restaurant,Adresse unbekannt,43.469196,11.040391,,273
Osteria Delle Catene,restaurant,"Via Mainardi, 18, 53037, San Gimignano",43.469268,11.041063,,288
Osteria delle Catene,restaurant,Adresse unbekannt,43.469333,11.041141,,284
Cum Quibus,restaurant,Adresse unbekannt,43.469917,11.041700,,261
San Martino 26,restaurant,Adresse unbekannt,43.469959,11.041916,,274
Locanda di Sant'Agostino,restaurant,Adresse unbekannt,43.470552,11.041955,,236
La Rocca,viewpoint,N/A,43.468155,11.041151,,408
,viewpoint,N/A,43.466973,11.044401,,704
,viewpoint,N/A,43.317360,11.329833,,190
,viewpoint,N/A,43.421999,11.118828,,1521
Poggio del Comune,peak,N/A,43.452062,11.001137,602.000000,4737
Poggio del Comune,peak,N/A,43.461451,10.998492,625.000000,4649
Montemaggio,peak,N/A,43.359758,11.205709,672.000000,2694
Monte Morio,peak,N/A,43.348099,11.215238,500.000000,3596
Poggiali,peak,N/A,43.343480,11.269060,301.800000,882
Il Poggione,peak,N/A,43.309276,11.256606,402.000000,4721
,viewpoint,N/A,43.319845,11.327411,,320
,viewpoint,N/A,43.315364,11.337960,,872
,viewpoint,N/A,43.423117,11.123630,,1800
Poggio Marcello,peak,N/A,43.439604,11.101639,210.000000,1786
Poggio Santo Chiodo,peak,N/A,43.449781,11.099350,201.000000,1222
Poggio alla Staffa,peak,N/A,43.444896,11.093637,215.000000,864
Poggio della Cava,peak,N/A,43.441953,11.096749,223.000000,1205
Poggio Casaglia,peak,N/A,43.466934,11.095776,236.000000,963
Poggio Oriolo,peak,N/A,43.463455,11.098936,145.000000,859
Poggio Rotondo,peak,N/A,43.476320,11.081061,200.000000,1756
Poggio del Doccio,peak,N/A,43.465501,11.092821,192.000000,743
Poggio Marzino,peak,N/A,43.365101,11.236267,442.000000,759
Poggio di Chele,peak,N/A,43.335531,11.268447,296.000000,1692
,viewpoint,N/A,43.468162,11.041347,,414
,viewpoint,N/A,43.331459,11.305321,,558
Poggio di Certino,peak,N/A,43.373864,11.193311,333.000000,1326
,viewpoint,N/A,43.369900,11.218247,,1617
,viewpoint,N/A,43.370407,11.213719,,1448
,viewpoint,N/A,43.318646,11.329700,,89
Poggio al Fumo,peak,N/A,43.372744,11.222400,381.000000,1389
,viewpoint,N/A,43.390119,11.224301,,30
,viewpoint,N/A,43.390399,11.222303,,9
,viewpoint,N/A,43.329048,11.321958,,20
,viewpoint,N/A,43.318214,11.327064,,382
,viewpoint,N/A,43.327432,11.326109,,19
Via Bruno Bonci Viewpoint,viewpoint,N/A,43.320394,11.324084,,566
,viewpoint,N/A,43.313694,11.333003,,618
,viewpoint,N/A,43.314939,11.331426,,434
,viewpoint,N/A,43.316968,11.333193,,330
,viewpoint,N/A,43.463813,11.042575,,915
,viewpoint,N/A,43.468098,11.043149,,519
Monte Quegna,peak,N/A,43.338435,11.173241,514.000000,4440
,viewpoint,N/A,43.461947,11.049044,,1464
,viewpoint,N/A,43.332978,11.339515,,1515
,viewpoint,N/A,43.296351,11.344435,,2917
,viewpoint,N/A,43.386047,11.218945,,514
,viewpoint,N/A,43.314448,11.332942,,539
,viewpoint,N/A,43.311313,11.327986,,886
,viewpoint,N/A,43.311402,11.328253,,867
Vista su Monteriggioni,viewpoint,N/A,43.386328,11.192989,,4
,viewpoint,N/A,43.320083,11.328449,,204
Vista su San Gimignano,viewpoint,N/A,43.428202,11.076232,,683
,viewpoint,N/A,43.457854,11.044192,,1600
,viewpoint,N/A,43.383187,11.225649,,279
,viewpoint,N/A,43.471210,11.040909,,99
,viewpoint,N/A,43.423527,11.133143,,2073
,viewpoint,N/A,43.390554,11.222197,,4
,viewpoint,N/A,43.305331,11.330811,,1495
