Name,Typ,Adresse,Latitude,Longitude
Von Allwörden,bakery,Adresse unbekannt,54.047958,10.7464504
Bäckerei Schacht,bakery,"Strandallee, 25, 23683, Scharbeutz",54.0491414,10.7507579
Backbord,restaurant,"Strandallee, 49, 23683, Scharbeutz",54.0468866,10.7498498
Brumund's Fischleckereien,restaurant,"Strandallee, 51, 23683, Scharbeutz",54.0464896,10.7497374
Café-Häuschen,cafe,"Strandallee, 17, 23683, Scharbeutz",54.0502828,10.7514034
Janny's Eis,cafe,Adresse unbekannt,54.0517163,10.7521771
Seßelberg,bakery,"Strandallee, 5, 23683, Scharbeutz",54.0516166,10.752133
Strand Café,cafe,"Strandallee, 6, 23683, Scharbeutz",54.0514463,10.7520441
Sai Gon,restaurant,"Strandallee, 22, 23683, Scharbeutz",54.0497067,10.7509787
Corfu,restaurant,Adresse unbekannt,54.0518383,10.7522523
Vista Mare,restaurant,"23683, Scharbeutz",54.0511574,10.7518219
Ostsee-Panorama,restaurant,Adresse unbekannt,54.0496025,10.7509141
Kafferösterei,cafe,Adresse unbekannt,54.0513502,10.7519381
Ocean's,restaurant,Adresse unbekannt,54.0521154,10.7528222
Brede,bakery,"Bahnhofstraße, 15, 23683, Scharbeutz",54.0527452,10.7481256
Fischbrötchen .....Bistro..... Räucherfisch,restaurant,"Strandallee, 5, 23683, Scharbeutz",54.0517788,10.7522476
Buhne 15,restaurant,Adresse unbekannt,54.0505058,10.7512721
Saloon „New Chance“,restaurant,Adresse unbekannt,54.0755348,10.7821632
Weltumsegler,restaurant,Adresse unbekannt,54.0751919,10.7777142
Cafeteria,cafe,Adresse unbekannt,54.0745098,10.7773747
Drinking_water,drinking_water,Adresse unbekannt,54.0744501,10.7773851
Joe’s Cowboy Cookout Barbecue,restaurant,Adresse unbekannt,54.0754238,10.7818442
Birdie's,restaurant,"Gutshof, 9, 23730, Sierksdorf",54.0819285,10.7736149
Wintershagen Gutshofcafé,cafe,"Gutshof, 9, 23730, Sierksdorf",54.0818722,10.7736193
Rewe,supermarket,"Sierksdorfer Straße, 8, 23730, Neustadt in Holstein",54.097155,10.7901801
Ambrosia,restaurant,Adresse unbekannt,54.1059895,10.8098322
Gemütlich Essen & Trinken,restaurant,Adresse unbekannt,54.1065147,10.8095057
Eiscafe Vicino,cafe,"Untere Querstraße, 3, 23730, Neustadt in Holstein",54.1070941,10.8104954
Nahkauf,supermarket,"Am Markt, 10, 23730, Neustadt in Holstein",54.1075567,10.8133444
Mien Backstuuv,bakery,"Brückstraße, 2, 23730, Neustadt in Holstein",54.1072249,10.813606
KaffeeWestseite,cafe,"Bahnhofstraße, 16, 23730, Neustadt in Holstein",54.1039966,10.8078533
Drinking_water,drinking_water,Adresse unbekannt,54.1088867,10.8123891
Ristorante Vicino,restaurant,"Untere Querstraße, 3, 23730, Neustadt in Holstein",54.1071285,10.8104651
Pizzeria La Piccola,restaurant,"Waschgrabenstraße, 5, 23730, Neustadt in Holstein",54.1068258,10.8149349
Four Seasons Restaurant,restaurant,"Kremper Straße, 12 a, 23730, Neustadt in Holstein",54.1085041,10.8159253
Jinder's Pizza Service,restaurant,Adresse unbekannt,54.1099134,10.816661
Golden Leaf,cafe,"Hochtorstraße, 7, 23730, Neustadt in Holstein",54.1072843,10.8157437
Brocks Café & Bar,cafe,"Am Markt, 6, 23730, Neustadt in Holstein",54.1073771,10.8150215
Bäckerei Seßelberg,bakery,"Am Markt, 7, 23730, Neustadt in Holstein",54.1072992,10.8149645
Pizzeria Rana,restaurant,Adresse unbekannt,54.1056155,10.8148237
bei Marco,restaurant,"Dr.-Julius-Stinde-Straße, 2a, 23738, Lensahn",54.214178,10.8808652
Bauernhofcafe,restaurant,"Bäderstraße, 18, 23738, Lensahn",54.2161491,10.8878595
LaRia,restaurant,"Lübecker Straße, 28, 23738, Lensahn",54.2145487,10.882301
EDEKA Jens,supermarket,"Eutiner Straße, 11, 23738, Lensahn",54.2197812,10.8847447
Puck,bakery,"Bäderstraße, 2, 23738, Lensahn",54.2204952,10.8867523
Balkan-Restaurant Bei Jovo,restaurant,"Bäderstraße, 15, 23738, Lensahn",54.2195932,10.8883219
Mien Backstuuv,bakery,"Eutiner Straße, 11, 23738, Lensahn",54.2198555,10.8848593
PENNY,supermarket,"Bäderstraße, 17, 23738, Lensahn",54.2192313,10.8887876
Zweirad Hartje,bicycle,"Schuhstraße, 99, 23758, Oldenburg in Holstein",54.2868752,10.8807475
REWE,supermarket,"Kieler Chaussee, 4a, 23758, Oldenburg in Holstein",54.2875928,10.8777176
Landbäckerei - Unser Norden Landbäcker,bakery,"Kieler Chaussee, 4a, 23758, Oldenburg in Holstein",54.2875816,10.8775092
Netto,supermarket,"Holsteiner Straße, 2, 23758, Oldenburg in Holstein",54.2907943,10.8876011
Akropolis,restaurant,"Markt, 4, 23758, Oldenburg in Holstein",54.2913953,10.8862948
Landbäckerei Puck,bakery,"Holsteiner Straße, 2, 23758, Oldenburg in Holstein",54.2909284,10.8877368
PENNY,supermarket,"Kieler Chaussee, 6, 23758, Oldenburg in Holstein",54.2877083,10.8766283
Grillmaster,restaurant,Adresse unbekannt,54.2892879,10.8839576
Edeka,supermarket,"Göhler Straße, 7, 23758, Oldenburg in Holstein",54.2910902,10.8916415
Modrücker's Restaurant,restaurant,"Kuhtorstraße, 3, 23758, Oldenburg in Holstein",54.2917944,10.8884868
Insel-Bäckerei,bakery,"Markt, 28, 23758, Oldenburg in Holstein",54.2915923,10.887383
Mephisto,restaurant,"Markt, 9, 23758, Oldenburg in Holstein",54.2919463,10.8862587
Stadtcafe,cafe,"Markt, 8, 23758, Oldenburg in Holstein",54.2918757,10.8862869
Bio-Markt,supermarket,"Schauenburger Straße, 5, 23758, Oldenburg in Holstein",54.2907247,10.8897223
von Allwörden,bakery,"Göhler Straße, 7, 23758, Oldenburg in Holstein",54.2910886,10.8913303
Keglerheim,restaurant,"Meiereiweg, 12, 23758, Oldenburg in Holstein",54.2881701,10.8929443
Pola Pola,restaurant,"Lankenstraße, 1a, 23758, Oldenburg in Holstein",54.2895276,10.8903824
Insel-Bäckerei,cafe,"Markt, 28, 23758, Oldenburg in Holstein",54.291558,10.887288
Aldi,supermarket,"Göhler Straße, 5, 23758, Oldenburg in Holstein",54.2910076,10.8904231
La Trattoria,restaurant,"Kuhtorstraße, 1, 23758, Oldenburg in Holstein",54.2918644,10.8877164
Cafe Leselampe,cafe,Adresse unbekannt,54.2917852,10.8895464
Lidl,supermarket,"Am Voßberg, 3, 23758, Oldenburg in Holstein",54.2929443,10.9117722
Edeka Jens,supermarket,"Strandstraße, 1b, 23775, Großenbrode",54.3683449,11.0841978
Restaurant,restaurant,Adresse unbekannt,54.3675538,11.0851188
Puck,bakery,Adresse unbekannt,54.3702724,11.0841575
Café Mehlbeere,cafe,"Alte Sundstraße, 9, 23775, Großenbrode",54.3752936,11.0892977
Restaurant Großenbrode,restaurant,Adresse unbekannt,54.373082,11.0862136
Café MeerZeit,cafe,"Fehmarnsund, 13, 23769, Fehmarn",54.4038592,11.121483
